[05/07/20]seed@VM:~/tmp$ sudo ./task2_1B 
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.140 -> 35.222.85.5
192.168.41.140 -> 35.222.85.5
192.168.41.140 -> 35.222.85.5
192.168.41.140 -> 35.222.85.5
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144
192.168.41.1 -> 192.168.41.144

